0.140,Rodoviária do Plano Piloto/Avenida das  Nações Norte,2.00,25.67,ROTA DO SOL,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA S1 LESTE (ESPLANADA DOS MINISTÉRIOS)
0.142,Vila Planalto/W3-L2 Sul,2.00,31.7,SÃO JOSÉ,VILA,VILA,AV. JK  - VILA PLANALTO
0.143,Rodoviária do Plano Piloto/RCG,2.00,41.23,COOPERATIVA ALTERNATIVA,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA N1 OESTE (EIXO MONUMENTAL)
0.147,São Sebastião (R. Bosque)/L2 Sul/Rodovária  do Plano Piloto,3.00,42.4,VIAÇÃO PIONEIRA,SÃO SEBASTIÃO,RODOVIÁRIA DO PLANO PILOTO,RUA DO TERMINAL- SÃO SEBASTIÃO
0.150,Cruzeiro/Rodoviária do Plano Piloto  (Eixo),2.00,35.14,VIPLAN,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA S1
0.151,Cruzeiro/W3 Sul (Memorial JK),2.00,23.8,VIPLAN,CRUZEIRO NOVO,CRUZEIRO NOVO,EPCB - ESTR. PARQ. CONTORNO DO BOSQUE
0.152,Rodoviária do Plano Piloto/Cruzeiro/Esplanada dos Ministérios (SIG),2.00,17.35,VIPLAN,RODOVIÁRIA DO PLANO PILOTO,CRUZEIRO NOVO,VIA LIG. S1/N1
0.153,Guará II-I/Rodoviária do Plano Piloto (SIA-Eixo),2.00,24.41,VIPLAN,GUARÁ 1 ANDRÉ LUIS,RODOVIÁRIA DO PLANO PILOTO,AV. CENTRAL GUARÁ I
0.156,Guará I II/W3 Sul,2.00,37.69,VIPLAN,GUARÁ II,GUARÁ II,AV. CENTRAL GUARÁ II
0.157,Circular Guará I-II/Parkshopping (QE 44-SPMS-SOF Sul),1.50,33.23,MCS,GUARÁ 1 ANDRÉ LUIS,GUARÁ 1 ANDRÉ LUIS,AV. CENTRAL GUARÁ I
0.158,Cidade Estrutural/Rodoviária do Plano Piloto (W3 Sul),2.00,26.6,SÃO JOSÉ,VILA ESTRUTURAL,RODOVIÁRIA DO PLANO PILOTO,AV. CENTRAL -ESTRUTURAL
0.159,Cidade Estrutural/Setor P-Sul (EPTG - P1-P2-P3-P4),2.00,35.8,SÃO JOSÉ,VILA ESTRUTURAL,SETOR P SUL,AV. CENTRAL -ESTRUTURAL
0.160,Núcleo Bandeirante/Rodoviária do Plano Piloto (Eixo),2.00,18.22,VIPLAN,NÚCLEO BANDEIRANTE,RODOVIÁRIA DO PLANO PILOTO,VIA CONT. NÚCLEO BANDEIRANTE
0.161,Núcleo Bandeirante/Cruzeiro (Rodoferroviária),2.00,36,VIPLAN,NÚCLEO BANDEIRANTE,NÚCLEO BANDEIRANTE,AV. CENTRAL NÚCLEO BANDEIRANTE
0.162,Guará II /Rodoviária do Plano Piloto (QE 44 - W3 Sul - ZOO),2.00,25.6,VIPLAN,GUARÁ II,RODOVIÁRIA DO PLANO PILOTO,AV. CONT. GUARÁ (SENTIDO TERM.GUARÁ II)
0.163,Núcleo Bandeirante/W3 Sul (Parkshoping-SIG),2.00,33.34,VIPLAN,NÚCLEO BANDEIRANTE,NÚCLEO BANDEIRANTE,VIA CONT. NÚCLEO BANDEIRANTE
0.165,Sudoeste/Esplanada(Terraço Shopping-Buriti-HFA,5.00,23.25,TCB,CRUZEIRO NOVO,CRUZEIRO NOVO,EPCB(HFA)
0.166,Cruzeiro /L2 Sul (Rodoviária do Plano Piloto),2.00,32.34,VIPLAN,CRUZEIRO NOVO,CRUZEIRO NOVO,EPCB - ESTR. PARQ. CONTORNO DO BOSQUE
0.167,Guará II-I/L2 Sul-Norte (UnB),2.00,36.75,VIPLAN,GUARÁ II,SCRN 716,VIA CONT. GUARÁ II
0.168,Cruzeiro/Sudoeste/L2 Norte (UnB),2.00,45.48,VIPLAN,CRUZEIRO NOVO,CRUZEIRO NOVO,EPCB - ESTR. PARQ. CONTORNO DO BOSQUE
0.169,Cruzeiro/W3 Norte (Buriti-Avenida Comercial Sudoeste),2.00,13.6,VIPLAN,CRUZEIRO NOVO,SCRN 716,EPCB - ESTR. PARQ. CONTORNO DO BOSQUE
0.170,Rodoviária do  Plano Piloto/Barreiros (EDF 14O),3.00,44.71,VIAÇÃO PIONEIRA,RODOVIÁRIA DO PLANO PILOTO,BARREIROS,VIA S1 LESTE
0.171,Núcleo Bandeirante/W3 Sul-Norte,2.00,27.97,VIPLAN,NÚCLEO BANDEIRANTE,SCRN 716,VIA CONT. NÚCLEO BANDEIRANTE
0.172,Riacho Fundo/Rodoviária do Plano Piloto (Eixo),2.00,22.57,SÃO JOSÉ,RIACHO FUNDO,RODOVIÁRIA DO PLANO PILOTO,AV. RIACHO FUNDO I SUL
0.174,Guará I-II / L2 Norte (Zoo - Eixo - Esplanada),2.00,35.9,VIPLAN,GUARÁ 1 ANDRÉ LUIS,SCRN 716,AV. CENTRAL GUARÁ I
0.175,Riacho Fundo/W3 Sul-Norte,2.00,32.47,SÃO JOSÉ,RIACHO FUNDO,SCRN 716,AV. RIACHO FUNDO I SUL
0.176,Riacho Fundo/L2 Sul-Norte (UnB),2.00,38.8,SÃO JOSÉ,RIACHO FUNDO,SCRN 716,AV. RIACHO FUNDO I SUL
0.177,Riacho Fundo/W3 Sul (SIG),2.00,50.07,SÃO JOSÉ,RIACHO FUNDO,RIACHO FUNDO,AV. RIACHO FUNDO I SUL
0.179,Circular Rodoviária do Plano Piloto/Sudoeste/W3-L2 Sul,2.00,32.15,VIPLAN,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA N1 OESTE (EIXO MONUMENTAL)
0.180,São Seb./João Cândido/São Gabriel/Vila do Boa/Rod. Plano Piloto (Ponte JK),2.50,30.4,VIAÇÃO PIONEIRA,SÃO SEBASTIÃO,RODOVIÁRIA DO PLANO PILOTO,RUA DO TERMINAL- SÃO SEBASTIÃO
0.181,São Sebastião (Res. Bosque)/Paranoá/Itapoã (Lago Sul-QI 23),2.50,42.3,SÃO JOSÉ,SÃO SEBASTIÃO,PARANOÁ,RUA DO TERMINAL- SÃO SEBASTIÃO
0.182,São Sebastião(Res. Bosque)/SAAN(Zoológico-Parkshoping-SIA-Carrefour Norte),3.00,52.8,VIAÇÃO PIONEIRA,SÃO SEBASTIÃO,CARREFOUR NORTE,RUA DO TERMINAL- SÃO SEBASTIÃO
0.183,São Sebastião (Res. do Bosque)/Cond. (ESAF-Big Box) / Vila do Boa / B.Green,1.50,41.3,VIAÇÃO PIONEIRA,SÃO SEBASTIÃO,SÃO SEBASTIÃO,RUA DO TERMINAL- SÃO SEBASTIÃO
0.184,São Sebastião (Residencial do Bosque)/Eixo Sul (Ponte JK-EAS),3.00,36.97,SÃO JOSÉ,SÃO SEBASTIÃO,ESTAÇÃO DO METRÔ (ASA SUL),RUA DO TERMINAL- SÃO SEBASTIÃO
0.185,Rodoviária do Plano Piloto/Paranoá/Itapoã,3.00,45.8,VIAÇÃO PIONEIRA,PARANOÁ,RODOVIÁRIA DO PLANO PILOTO,DF - 015 ESTRADA PARQUE TAMANDUÁ - EPTM
0.186,São Sebastião/Rodoviária do Plano Piloto (Eixo),3.00,38.4,VIAÇÃO PIONEIRA,SÃO SEBASTIÃO,RODOVIÁRIA DO PLANO PILOTO,RUA DO TERMINAL- SÃO SEBASTIÃO
0.188,Paranoá /Altiplano Leste,3.00,36.03,IVANILSON RODRIGUES MILITAO,PARANOÁ,PARANOÁ,DF - 015 ESTRADA PARQUE TAMANDUÁ - EPTM
0.190,Jardim II(Divisa DF/MG)/ Paranoá,3.00,122.09,JOSÉ ROBERTO CARNEIRO LOPO,ESCOLA CLASSE JARDIM II,PARANOÁ,DF - 285 (DIVISA DF/MG)
0.192,São Sebastião/Nova Betânia (VC487-DF140-NB-BR251),3.00,63.4,RUBENS CARLOS DA CUNHA,SÃO SEBASTIÃO,SÃO SEBASTIÃO,AV. PRINCIPAL - SÃO SEBASTIÃO
0.194,São Sebastião (Bairro São Francisco -Qd. 09)/W3 Sul (Ponte JK),3.00,35,VIAÇÃO PIONEIRA,SÃO SEBASTIÃO,ESTAÇÃO DO METRÔ (ASA SUL),RUA DA ESCOLA- SÃO SEBASTIÃO
0.196,São Sebastião (Res. Bosque)/Lago Norte (Ponte JK-Setor de Clubes Norte),3.00,44.9,VIAÇÃO PIONEIRA,SÃO SEBASTIÃO,CLUBE DO CONGRESSO,RUA DO TERMINAL- SÃO SEBASTIÃO
0.197,São Sebastião (Res. do Bosque-Vila São José-100/200)/W3 Norte (Ponte JK),3.00,30.27,VIAÇÃO PIONEIRA,SÃO SEBASTIÃO,SCRN 716,RUA DO TERMINAL- SÃO SEBASTIÃO
0.198,São Sebastião(Res. Bosque)/Guará I-II (Núcleo Bandeirante),3.00,53.24,VIAÇÃO PIONEIRA,SÃO SEBASTIÃO,VIVA BRASILIA - SGCV,RUA DO TERMINAL- SÃO SEBASTIÃO
0.199,São Sebastião (Residencial do Bosque)/Cruzeiro (Sudoeste-Octogonal),3.00,50.5,VIAÇÃO PIONEIRA,SÃO SEBASTIÃO,VIVA BRASILIA - SGCV,RUA DO TERMINAL- SÃO SEBASTIÃO
0.200,Gama Leste/Rodoviária do Plano Piloto (Eixo),3.00,40.3,VIPLAN,GAMA,RODOVIÁRIA DO PLANO PILOTO,VIA ACES. SETOR NORTE/ CENTRAL - GAMA
0.201,Gama Oeste - Central/Rodoviária do Plano Piloto (Eixo),3.00,42.72,VIPLAN,GAMA,RODOVIÁRIA DO PLANO PILOTO,VIA ACES. SETOR SUL/CENTRAL(AV. DO PIONEIROS)
